"datetime_id","date_id","date","hour","volume_of_ISSR","num_of_ISSR","floor","ceiling","south_id","north_id","south","north","west_id","east_id","west","east"
1,1,20200517,0,0.270592020592021,1682,40000,17500,10,112,20.2741999850841,57.8194408299067,1,149,-132.165513053979,-64.8001897854952
2,1,20200517,1,0.231338481338481,1438,40000,10000,10,112,20.2741999850841,57.4104803149252,1,150,-129.539211826491,-64.3595997300516
3,1,20200517,2,0.196750321750322,1223,40000,17500,11,110,20.5256046095176,56.8650293388515,1,150,-134.375775266469,-65.7151644857385
4,1,20200517,3,0.208172458172458,1294,40000,17500,12,109,23.7209133173328,56.9086985228024,1,150,-133.843886332559,-65.1945553592603
5,1,20200517,4,0.228281853281853,1419,40000,17500,8,112,22.3517712351129,57.7773627861155,1,150,-136.585430112316,-64.7973310036633
6,1,20200517,5,0.221846846846847,1379,40000,10000,8,112,22.353631037196,58.0768009230066,1,146,-135.499126520626,-63.1409447176419
7,1,20200517,6,0.226029601029601,1405,40000,20000,15,112,23.9460712209305,58.0487261219159,1,146,-135.643261182712,-62.2338780331864
8,1,20200517,7,0.241473616473616,1501,40000,20000,8,112,22.2986450866064,57.5375034264948,1,147,-134.654735979326,-61.337029325489
9,1,20200517,8,0.251769626769627,1565,40000,17500,8,110,22.2872261400072,57.3344277599096,1,149,-134.245240963791,-60.6006876196381
10,1,20200517,9,0.336229086229086,2090,40000,20000,1,112,16.9411159079357,57.8865143530623,1,150,-135.384494457819,-59.4385563501179
11,1,20200517,10,0.401383526383526,2495,40000,15000,1,112,16.9411159079357,56.618654851874,1,150,-135.228850400617,-59.4385563501179
12,1,20200517,11,0.452380952380952,2812,40000,12500,2,112,17.444784557376,57.5412472264125,1,150,-134.654735979326,-59.8096268696287
13,1,20200517,12,0.449967824967825,2797,40000,12500,1,112,17.1632881457467,56.9481813263861,1,150,-133.976781317293,-60.2340901730862
14,1,20200517,13,0.491473616473617,3055,40000,12500,1,112,16.3894956093787,57.2393153988489,1,150,-133.976781317293,-59.4385563501179
15,1,20200517,14,0.482625482625483,3000,40000,15000,1,112,16.3894956093787,57.5134165481756,1,150,-133.976781317293,-59.4385563501179
16,1,20200517,15,0.484395109395109,3011,42500,15000,1,112,16.3894956093787,58.1310783906312,1,150,-133.702260058363,-59.4385563501179
17,1,20200517,16,0.260456885456886,1619,40000,20000,4,112,20.5064880577882,58.1095546740538,12,150,-130.758522237806,-59.4385563501179
18,1,20200517,17,0.21042471042471,1308,40000,17500,7,112,21.9441565779903,58.1179770226324,15,150,-129.196806330908,-59.3024966394961
19,1,20200517,18,0.19015444015444,1182,42500,17500,3,112,20.2950508949837,58.099884544133,15,150,-128.807346867528,-59.3024966394961
20,1,20200517,19,0.187580437580438,1166,42500,17500,3,112,20.2486367775289,58.0768009230066,14,150,-128.986861587602,-59.3024966394961
21,1,20200517,20,0.182271557271557,1133,42500,17500,1,112,19.5222487577118,58.0487261219159,13,150,-129.33786532798,-60.2340901730862
22,1,20200517,21,0.249356499356499,1550,40000,17500,1,112,19.4453750723824,58.1423078856658,15,150,-131.367771864437,-59.5736064555863
23,1,20200517,22,0.236486486486487,1470,37500,17500,1,112,19.4176935518634,58.1310783906312,15,150,-131.367771864437,-63.6345031360892
